,filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,annotation_shape,bounding_box_coords,parent_label,defect_class
54849,M0582C015100.jpg,7819,{},18,1,"{""name"":""polygon"",""all_points_x"":[230,229,238,238,230],""all_points_y"":[168,211,212,169,168]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[229, 238, 168, 212]",Contact,FrontGridInterruption
83990,M0841C027000.jpg,7915,{},1,0,"{""name"":""rect"",""x"":95,""y"":51,""width"":6,""height"":63}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[95, 101, 51, 114]",Contact,FrontGridInterruption
80558,M0772C048100.jpg,15599,{},3,2,"{""name"":""rect"",""x"":243,""y"":107,""width"":4,""height"":11}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[243, 247, 107, 118]",Contact,FrontGridInterruption
25893,M0363C034000.jpg,17140,{},19,14,"{""name"":""rect"",""x"":55,""y"":6,""width"":3,""height"":33}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[55, 58, 6, 39]",Contact,FrontGridInterruption
66684,M0634C053000.jpg,14236,{},10,7,"{""name"":""rect"",""x"":82,""y"":123,""width"":9,""height"":41}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[82, 91, 123, 164]",Contact,FrontGridInterruption
30486,M0379C017000.jpg,16154,{},20,0,"{""name"":""rect"",""x"":139,""y"":6,""width"":4,""height"":36}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[139, 143, 6, 42]",Contact,FrontGridInterruption
83165,M0835C006000.jpg,7820,{},4,0,"{""name"":""rect"",""x"":124,""y"":5,""width"":7,""height"":42}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[124, 131, 5, 47]",Contact,FrontGridInterruption
69215,M0637C028000.jpg,13974,{},6,4,"{""name"":""rect"",""x"":34,""y"":126,""width"":6,""height"":43}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[34, 40, 126, 169]",Contact,FrontGridInterruption
13945,M0162C046000.jpg,23208,{},1,0,"{""name"":""rect"",""x"":151,""y"":176,""width"":10,""height"":68}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[151, 161, 176, 244]",Contact,FrontGridInterruption
55000,M0582C025100.jpg,18813,{},19,0,"{""name"":""polygon"",""all_points_x"":[227,229,224,224,227],""all_points_y"":[15,37,38,17,15]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[224, 229, 15, 38]",Contact,FrontGridInterruption
8518,M0131C013000.jpg,17161,{},3,0,"{""name"":""rect"",""x"":175,""y"":7,""width"":6,""height"":23}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[175, 181, 7, 30]",Contact,FrontGridInterruption
14433,M0163C054000.jpg,23527,{},12,0,"{""name"":""rect"",""x"":186,""y"":72,""width"":12,""height"":65}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[186, 198, 72, 137]",Contact,FrontGridInterruption
26117,M0363C049000.jpg,15770,{},10,8,"{""name"":""rect"",""x"":165,""y"":169,""width"":4,""height"":47}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[165, 169, 169, 216]",Contact,FrontGridInterruption
20861,M0338C049100.jpg,16139,{},5,1,"{""name"":""rect"",""x"":228,""y"":187,""width"":11,""height"":34}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[228, 239, 187, 221]",Contact,FrontGridInterruption
23903,M0360C042000.jpg,16199,{},15,0,"{""name"":""rect"",""x"":45,""y"":3,""width"":7,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[45, 52, 3, 23]",Contact,FrontGridInterruption
40317,M0396C022000.jpg,16215,{},28,13,"{""name"":""rect"",""x"":51,""y"":193,""width"":5,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[51, 56, 193, 228]",Contact,FrontGridInterruption
18563,M0334C040100.jpg,15535,{},5,1,"{""name"":""rect"",""x"":192,""y"":271,""width"":21,""height"":12}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[192, 213, 271, 283]",Contact,FrontGridInterruption
79600,M0767C007100.jpg,15634,{},7,0,"{""name"":""rect"",""x"":207,""y"":121,""width"":5,""height"":33}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[207, 212, 121, 154]",Contact,FrontGridInterruption
86166,M0872C006100.jpg,6859,{},5,0,"{""name"":""rect"",""x"":169,""y"":179,""width"":6,""height"":61}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[169, 175, 179, 240]",Contact,FrontGridInterruption
75300,M0708C033000.jpg,17558,{},6,3,"{""name"":""polygon"",""all_points_x"":[35,36,43,43,35,35],""all_points_y"":[196,163,162,194,200,196]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[35, 43, 162, 200]",Contact,FrontGridInterruption
85223,M0866C043100.jpg,17342,{},4,2,"{""name"":""rect"",""x"":267,""y"":87,""width"":7,""height"":66}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[267, 274, 87, 153]",Contact,FrontGridInterruption
85525,M0869C045100.jpg,16937,{},1,0,"{""name"":""rect"",""x"":259,""y"":70,""width"":23,""height"":65}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[259, 282, 70, 135]",Contact,FrontGridInterruption
26528,M0364C014000.jpg,18585,{},14,7,"{""name"":""rect"",""x"":47,""y"":5,""width"":4,""height"":32}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[47, 51, 5, 37]",Contact,FrontGridInterruption
27221,M0365C015100.jpg,16353,{},5,4,"{""name"":""rect"",""x"":25,""y"":66,""width"":3,""height"":33}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[25, 28, 66, 99]",Contact,FrontGridInterruption
86563,M0874C059100.jpg,17247,{},1,0,"{""name"":""rect"",""x"":286,""y"":119,""width"":5,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[286, 291, 119, 149]",Contact,FrontGridInterruption
80528,M0772C037100.jpg,15550,{},4,3,"{""name"":""rect"",""x"":209,""y"":210,""width"":7,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[209, 216, 210, 232]",Contact,FrontGridInterruption
42791,M0398C029000.jpg,15600,{},9,5,"{""name"":""rect"",""x"":129,""y"":8,""width"":5,""height"":29}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[129, 134, 8, 37]",Contact,FrontGridInterruption
40250,M0396C018000.jpg,16742,{},13,2,"{""name"":""rect"",""x"":43,""y"":15,""width"":6,""height"":18}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[43, 49, 15, 33]",Contact,FrontGridInterruption
82911,M0833C026000.jpg,8016,{},2,0,"{""name"":""rect"",""x"":93,""y"":78,""width"":6,""height"":54}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[93, 99, 78, 132]",Contact,FrontGridInterruption
21015,M0339C006100.jpg,7151,{},23,0,"{""name"":""rect"",""x"":24,""y"":11,""width"":3,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[24, 27, 11, 33]",Contact,FrontGridInterruption
85325,M0867C024100.jpg,6677,{},1,0,"{""name"":""rect"",""x"":264,""y"":161,""width"":5,""height"":52}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[264, 269, 161, 213]",Contact,FrontGridInterruption
21887,M0356C040000.jpg,15699,{},6,2,"{""name"":""rect"",""x"":189,""y"":13,""width"":10,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[189, 199, 13, 38]",Contact,FrontGridInterruption
82258,M0828C023000.jpg,6373,{},5,0,"{""name"":""rect"",""x"":100,""y"":1,""width"":10,""height"":31}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[100, 110, 1, 32]",Contact,FrontGridInterruption
87480,M0878C051000.jpg,14486,{},4,0,"{""name"":""rect"",""x"":159,""y"":146,""width"":6,""height"":31}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[159, 165, 146, 177]",Contact,FrontGridInterruption
18792,M0335C015100.jpg,16017,{},8,1,"{""name"":""rect"",""x"":28,""y"":118,""width"":100,""height"":54}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[28, 128, 118, 172]",Contact,FrontGridInterruption
87506,M0878C057000.jpg,14030,{},6,0,"{""name"":""rect"",""x"":176,""y"":144,""width"":4,""height"":32}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[176, 180, 144, 176]",Contact,FrontGridInterruption
61771,M0630C034000.jpg,14703,{},11,10,"{""name"":""rect"",""x"":41,""y"":95,""width"":4,""height"":13}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[41, 45, 95, 108]",Contact,FrontGridInterruption
31388,M0380C004000.jpg,16363,{},19,0,"{""name"":""rect"",""x"":148,""y"":12,""width"":5,""height"":28}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[148, 153, 12, 40]",Contact,FrontGridInterruption
15708,M0170C012010.jpg,18999,{},7,0,"{""name"":""rect"",""x"":43,""y"":51,""width"":9,""height"":48}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[43, 52, 51, 99]",Contact,FrontGridInterruption
74387,M0644C003000.jpg,14968,{},13,5,"{""name"":""rect"",""x"":209,""y"":130,""width"":3,""height"":8}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[209, 212, 130, 138]",Contact,FrontGridInterruption
84480,M0845C016000.jpg,8278,{},1,0,"{""name"":""rect"",""x"":109,""y"":65,""width"":6,""height"":66}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[109, 115, 65, 131]",Contact,FrontGridInterruption
82193,M0828C005000.jpg,6330,{},5,0,"{""name"":""rect"",""x"":93,""y"":12,""width"":19,""height"":32}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[93, 112, 12, 44]",Contact,FrontGridInterruption
88233,M9000C010011.png,357976,{},48,0,"{""name"":""rect"",""x"":117,""y"":11,""width"":162,""height"":12}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[117, 279, 11, 23]",Contact,FrontGridInterruption
44820,M0400C022000.jpg,15483,{},15,5,"{""name"":""rect"",""x"":255,""y"":21,""width"":4,""height"":22}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[255, 259, 21, 43]",Contact,FrontGridInterruption
81457,M0824C020000.jpg,15240,{},13,0,"{""name"":""rect"",""x"":143,""y"":21,""width"":11,""height"":17}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[143, 154, 21, 38]",Contact,FrontGridInterruption
13818,M0162C022000.jpg,22880,{},8,0,"{""name"":""rect"",""x"":248,""y"":75,""width"":9,""height"":63}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[248, 257, 75, 138]",Contact,FrontGridInterruption
34606,M0390C019000.jpg,15784,{},13,2,"{""name"":""rect"",""x"":122,""y"":12,""width"":14,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[122, 136, 12, 47]",Contact,FrontGridInterruption
19083,M0335C060100.jpg,6543,{},7,4,"{""name"":""rect"",""x"":74,""y"":29,""width"":7,""height"":14}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[74, 81, 29, 43]",Contact,FrontGridInterruption
6841,M0095C012100.jpg,272370,{},4,0,"{""name"":""rect"",""x"":173,""y"":213,""width"":17,""height"":86}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[173, 190, 213, 299]",Contact,FrontGridInterruption
20218,M0337C008100.jpg,16424,{},16,0,"{""name"":""rect"",""x"":181,""y"":133,""width"":8,""height"":38}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[181, 189, 133, 171]",Contact,FrontGridInterruption
23141,M0359C027000.jpg,16709,{},6,0,"{""name"":""rect"",""x"":122,""y"":4,""width"":11,""height"":21}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[122, 133, 4, 25]",Contact,FrontGridInterruption
82407,M0830C004000.jpg,7724,{},2,0,"{""name"":""rect"",""x"":114,""y"":9,""width"":10,""height"":21}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[114, 124, 9, 30]",Contact,FrontGridInterruption
10944,M0136C029010.jpg,13558,{},15,0,"{""name"":""rect"",""x"":35,""y"":189,""width"":8,""height"":23}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[35, 43, 189, 212]",Contact,FrontGridInterruption
88479,M9001C004011.png,364731,{},50,0,"{""name"":""rect"",""x"":1,""y"":446,""width"":52,""height"":7}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[1, 53, 446, 453]",Contact,FrontGridInterruption
10083,M0134C050000.jpg,14020,{},3,0,"{""name"":""rect"",""x"":17,""y"":70,""width"":6,""height"":40}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[17, 23, 70, 110]",Contact,FrontGridInterruption
83921,M0841C012000.jpg,7947,{},7,0,"{""name"":""rect"",""x"":100,""y"":8,""width"":6,""height"":41}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[100, 106, 8, 49]",Contact,FrontGridInterruption
82770,M0833C003000.jpg,8443,{},13,0,"{""name"":""rect"",""x"":66,""y"":12,""width"":8,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[66, 74, 12, 42]",Contact,FrontGridInterruption
6660,M0088C002100.jpg,271211,{},14,0,"{""name"":""rect"",""x"":165,""y"":14,""width"":17,""height"":65}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[165, 182, 14, 79]",Contact,FrontGridInterruption
86350,M0873C015100.jpg,7143,{},6,0,"{""name"":""rect"",""x"":168,""y"":92,""width"":5,""height"":50}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[168, 173, 92, 142]",Contact,FrontGridInterruption
83740,M0839C031000.jpg,7289,{},1,0,"{""name"":""rect"",""x"":27,""y"":68,""width"":7,""height"":60}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[27, 34, 68, 128]",Contact,FrontGridInterruption
51133,M0488C054100.jpg,17101,{},2,0,"{""name"":""rect"",""x"":56,""y"":131,""width"":3,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[56, 59, 131, 151]",Contact,FrontGridInterruption
16516,M0172C021010.jpg,18874,{},5,0,"{""name"":""rect"",""x"":202,""y"":52,""width"":8,""height"":52}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[202, 210, 52, 104]",Contact,FrontGridInterruption
14476,M0163C058000.jpg,21551,{},4,0,"{""name"":""rect"",""x"":142,""y"":84,""width"":10,""height"":58}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[142, 152, 84, 142]",Contact,FrontGridInterruption
48733,M0461C009000.jpg,3068,{},10,0,"{""name"":""rect"",""x"":79,""y"":13,""width"":4,""height"":37}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[79, 83, 13, 50]",Contact,FrontGridInterruption
13248,M0152C045110.jpg,30407,{},6,0,"{""name"":""rect"",""x"":274,""y"":12,""width"":10,""height"":41}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[274, 284, 12, 53]",Contact,FrontGridInterruption
23053,M0359C015000.jpg,18165,{},6,2,"{""name"":""rect"",""x"":219,""y"":7,""width"":11,""height"":23}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[219, 230, 7, 30]",Contact,FrontGridInterruption
81957,M0824C050000.jpg,15056,{},21,2,"{""name"":""rect"",""x"":73,""y"":16,""width"":8,""height"":37}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[73, 81, 16, 53]",Contact,FrontGridInterruption
78694,M0762C028100.jpg,16459,{},5,4,"{""name"":""rect"",""x"":255,""y"":9,""width"":5,""height"":24}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[255, 260, 9, 33]",Contact,FrontGridInterruption
28818,M0376C016100.jpg,16112,{},13,4,"{""name"":""rect"",""x"":200,""y"":134,""width"":3,""height"":31}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[200, 203, 134, 165]",Contact,FrontGridInterruption
52838,M0572C011000.jpg,13983,{},1,0,"{""name"":""polygon"",""all_points_x"":[137,135,139,142,137],""all_points_y"":[70,121,121,71,70]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[135, 142, 70, 121]",Contact,FrontGridInterruption
49985,M0467C024000.jpg,13646,{},6,0,"{""name"":""rect"",""x"":205,""y"":197,""width"":3,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[205, 208, 197, 217]",Contact,FrontGridInterruption
72099,M0640C037000.jpg,15074,{},20,12,"{""name"":""rect"",""x"":201,""y"":16,""width"":4,""height"":14}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[201, 205, 16, 30]",Contact,FrontGridInterruption
18424,M0334C019100.jpg,15152,{},9,0,"{""name"":""rect"",""x"":151,""y"":56,""width"":12,""height"":46}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[151, 163, 56, 102]",Contact,FrontGridInterruption
23392,M0359C052000.jpg,16937,{},12,3,"{""name"":""rect"",""x"":264,""y"":3,""width"":11,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[264, 275, 3, 28]",Contact,FrontGridInterruption
53859,M0577C037000.jpg,13217,{},4,0,"{""name"":""polygon"",""all_points_x"":[261,262,265,267,261],""all_points_y"":[193,243,243,196,193]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[261, 267, 193, 243]",Contact,FrontGridInterruption
34885,M0390C040000.jpg,16169,{},13,0,"{""name"":""rect"",""x"":41,""y"":265,""width"":11,""height"":18}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[41, 52, 265, 283]",Contact,FrontGridInterruption
51359,M0490C047000.jpg,11576,{},3,0,"{""name"":""rect"",""x"":229,""y"":147,""width"":4,""height"":23}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[229, 233, 147, 170]",Contact,FrontGridInterruption
27439,M0374C005100.jpg,17623,{},27,0,"{""name"":""rect"",""x"":20,""y"":8,""width"":3,""height"":24}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[20, 23, 8, 32]",Contact,FrontGridInterruption
56769,M0595C033100.jpg,17018,{},8,2,"{""name"":""polygon"",""all_points_x"":[39,38,44,44,39],""all_points_y"":[61,102,102,63,61]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[38, 44, 61, 102]",Contact,FrontGridInterruption
56045,M0587C045100.jpg,16227,{},2,0,"{""name"":""polygon"",""all_points_x"":[77,77,81,82,77],""all_points_y"":[201,233,233,202,201]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[77, 82, 201, 233]",Contact,FrontGridInterruption
84435,M0844C031000.jpg,8140,{},3,0,"{""name"":""rect"",""x"":159,""y"":162,""width"":7,""height"":27}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[159, 166, 162, 189]",Contact,FrontGridInterruption
9354,M0133C008000.jpg,14709,{},5,0,"{""name"":""rect"",""x"":16,""y"":50,""width"":8,""height"":65}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[16, 24, 50, 115]",Contact,FrontGridInterruption
28607,M0375C047100.jpg,16925,{},10,0,"{""name"":""rect"",""x"":241,""y"":76,""width"":4,""height"":28}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[241, 245, 76, 104]",Contact,FrontGridInterruption
16015,M0171C005010.jpg,19481,{},2,0,"{""name"":""rect"",""x"":166,""y"":142,""width"":10,""height"":56}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[166, 176, 142, 198]",Contact,FrontGridInterruption
51936,M0537C020000.jpg,13184,{},2,0,"{""name"":""rect"",""x"":143,""y"":222,""width"":3,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[143, 146, 222, 242]",Contact,FrontGridInterruption
23312,M0359C047000.jpg,18494,{},24,1,"{""name"":""rect"",""x"":18,""y"":248,""width"":13,""height"":34}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[18, 31, 248, 282]",Contact,FrontGridInterruption
73705,M0642C053000.jpg,13567,{},1,0,"{""name"":""rect"",""x"":141,""y"":119,""width"":4,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[141, 145, 119, 149]",Contact,FrontGridInterruption
57668,M0616C052000.jpg,16008,{},7,2,"{""name"":""rect"",""x"":265,""y"":11,""width"":8,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[265, 273, 11, 31]",Contact,FrontGridInterruption
14348,M0163C044000.jpg,23271,{},11,0,"{""name"":""rect"",""x"":76,""y"":69,""width"":10,""height"":63}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[76, 86, 69, 132]",Contact,FrontGridInterruption
10439,M0135C034010.jpg,16173,{},3,0,"{""name"":""rect"",""x"":186,""y"":56,""width"":6,""height"":35}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[186, 192, 56, 91]",Contact,FrontGridInterruption
49663,M0464C026000.jpg,7885,{},1,0,"{""name"":""rect"",""x"":95,""y"":82,""width"":5,""height"":39}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[95, 100, 82, 121]",Contact,FrontGridInterruption
85800,M0870C035100.jpg,17349,{},9,0,"{""name"":""rect"",""x"":198,""y"":85,""width"":5,""height"":58}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[198, 203, 85, 143]",Contact,FrontGridInterruption
42471,M0398C010000.jpg,15327,{},17,1,"{""name"":""rect"",""x"":259,""y"":83,""width"":3,""height"":58}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[259, 262, 83, 141]",Contact,FrontGridInterruption
51482,M0500C026000.jpg,13236,{},7,0,"{""name"":""rect"",""x"":17,""y"":50,""width"":3,""height"":38}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[17, 20, 50, 88]",Contact,FrontGridInterruption
76465,M0714C036000.jpg,14345,{},7,6,"{""name"":""rect"",""x"":26,""y"":169,""width"":4,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[26, 30, 169, 194]",Contact,FrontGridInterruption
23569,M0360C006000.jpg,16034,{},8,0,"{""name"":""rect"",""x"":41,""y"":5,""width"":10,""height"":23}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[41, 51, 5, 28]",Contact,FrontGridInterruption
75374,M0709C002000.jpg,13866,{},2,1,"{""name"":""polygon"",""all_points_x"":[263,262,269,270,263],""all_points_y"":[128,140,140,128,128]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[262, 270, 128, 140]",Contact,FrontGridInterruption
50841,M0480C031010.jpg,15098,{},5,1,"{""name"":""rect"",""x"":154,""y"":102,""width"":2,""height"":19}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[154, 156, 102, 121]",Contact,FrontGridInterruption
75530,M0710C027000.jpg,12178,{},6,1,"{""name"":""polygon"",""all_points_x"":[22,23,14,15,22],""all_points_y"":[119,140,141,117,119]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[14, 23, 117, 141]",Contact,FrontGridInterruption
54159,M0579C008000.jpg,13351,{},1,0,"{""name"":""polygon"",""all_points_x"":[185,183,191,191,185],""all_points_y"":[161,175,175,161,161]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[183, 191, 161, 175]",Contact,FrontGridInterruption
21319,M0339C034100.jpg,17365,{},23,0,"{""name"":""rect"",""x"":22,""y"":2,""width"":9,""height"":25}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[22, 31, 2, 27]",Contact,FrontGridInterruption
50264,M0470C023000.jpg,13676,{},2,1,"{""name"":""rect"",""x"":215,""y"":149,""width"":4,""height"":24}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[215, 219, 149, 173]",Contact,FrontGridInterruption
83542,M0838C003000.jpg,7965,{},8,0,"{""name"":""rect"",""x"":132,""y"":18,""width"":5,""height"":19}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[132, 137, 18, 37]",Contact,FrontGridInterruption
85638,M0870C009100.jpg,6557,{},2,0,"{""name"":""rect"",""x"":207,""y"":95,""width"":5,""height"":54}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[207, 212, 95, 149]",Contact,FrontGridInterruption
49787,M0465C024000.jpg,7560,{},7,0,"{""name"":""rect"",""x"":128,""y"":144,""width"":6,""height"":41}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[128, 134, 144, 185]",Contact,FrontGridInterruption
58741,M0622C009010.jpg,13335,{},1,0,"{""name"":""rect"",""x"":240,""y"":136,""width"":8,""height"":19}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[240, 248, 136, 155]",Contact,FrontGridInterruption
49664,M0464C027000.jpg,8041,{},2,0,"{""name"":""rect"",""x"":96,""y"":98,""width"":4,""height"":30}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[96, 100, 98, 128]",Contact,FrontGridInterruption
56612,M0594C056100.jpg,17007,{},3,2,"{""name"":""polygon"",""all_points_x"":[216,217,222,221,216],""all_points_y"":[139,181,181,140,139]}","{""Defect_Class"":""Contact_FrontGridInterruption""}",polygon,"[216, 222, 139, 181]",Contact,FrontGridInterruption
25099,M0362C024000.jpg,17861,{},10,8,"{""name"":""rect"",""x"":260,""y"":258,""width"":9,""height"":24}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[260, 269, 258, 282]",Contact,FrontGridInterruption
42113,M0397C050000.jpg,16796,{},18,13,"{""name"":""rect"",""x"":269,""y"":117,""width"":6,""height"":32}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[269, 275, 117, 149]",Contact,FrontGridInterruption
40170,M0396C010000.jpg,15665,{},20,0,"{""name"":""rect"",""x"":51,""y"":21,""width"":5,""height"":18}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[51, 56, 21, 39]",Contact,FrontGridInterruption
80864,M0821C010000.jpg,16246,{},6,0,"{""name"":""rect"",""x"":172,""y"":73,""width"":11,""height"":65}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[172, 183, 73, 138]",Contact,FrontGridInterruption
15468,M0166C024010.jpg,20354,{},2,0,"{""name"":""rect"",""x"":217,""y"":136,""width"":9,""height"":40}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[217, 226, 136, 176]",Contact,FrontGridInterruption
72857,M0641C037000.jpg,13536,{},13,1,"{""name"":""rect"",""x"":127,""y"":47,""width"":4,""height"":20}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[127, 131, 47, 67]",Contact,FrontGridInterruption
52159,M0538C044000.jpg,13093,{},1,0,"{""name"":""rect"",""x"":189,""y"":227,""width"":4,""height"":26}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[189, 193, 227, 253]",Contact,FrontGridInterruption
21342,M0339C035100.jpg,19272,{},15,0,"{""name"":""rect"",""x"":61,""y"":4,""width"":25,""height"":31}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[61, 86, 4, 35]",Contact,FrontGridInterruption
46800,M0438C016000.jpg,13468,{},2,0,"{""name"":""rect"",""x"":182,""y"":113,""width"":4,""height"":28}","{""Defect_Class"":""Contact_FrontGridInterruption""}",rect,"[182, 186, 113, 141]",Contact,FrontGridInterruption
